"URL d'accès au document";"Type de document";"Titre";"Auteurs";"Contributeur";"Éditeurs";"Date d'édition";"Description";"Nombre de Vues";"Provenance";"Droits";"Ark Catalogue"
"https://gallica.bnf.fr/ark:/12148/bpt6k6524520p";"texte -- text -- publication en série imprimée -- printed serial";"Bulletin paroissial de Lorette";"";"";" (Saint-Étienne)";"1914-07";" juillet 1914 -- 1914/07 (A7,N9). --  -- Appartient à l’ensemble documentaire : GG14181 -- Appartient à l’ensemble documentaire : RhoneAlp1";"111";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, BP-1 (LORETTE)";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb42749432p -- https://gallica.bnf.fr/ark:/12148/cb42749432p/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k2416375";"texte -- text -- publication en série imprimée -- printed serial";"Le Temps";"";"Nefftzer, Auguste (1820-1876). Fondateur de la publication. Directeur de publication -- Hébrard, Adrien (1833-1914). Directeur de publication";" (Paris)";"1913-12-03";"03 décembre 1913 -- 1913/12/03 (Numéro 19144). --  -- Appartient à l’ensemble documentaire : FranceJp0 -- Appartient à l’ensemble documentaire : BnPlCo00";"137484";"Bibliothèque nationale de France";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34431794k -- https://gallica.bnf.fr/ark:/12148/cb34431794k/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k241873n";"texte -- text -- publication en série imprimée -- printed serial";"Le Temps";"";"Nefftzer, Auguste (1820-1876). Fondateur de la publication. Directeur de publication -- Hébrard, Adrien (1833-1914). Directeur de publication";" (Paris)";"1914-07-23";"23 juillet 1914 -- 1914/07/23 (Numéro 19374s). --  -- Appartient à l’ensemble documentaire : FranceJp0 -- Appartient à l’ensemble documentaire : BnPlCo00";"137484";"Bibliothèque nationale de France";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34431794k -- https://gallica.bnf.fr/ark:/12148/cb34431794k/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k290150k";"texte -- text -- publication en série imprimée -- printed serial";"Figaro : journal non politique";"";"Villemessant, Hippolyte de (1810-1879). Directeur de publication -- Jouvin, Benoît (1810-1886). Directeur de publication";" (Paris)";"1913-12-01";"01 décembre 1913 -- 1913/12/01 (Numéro 335). --  -- Appartient à l’ensemble documentaire : Pam1 -- Appartient à l’ensemble documentaire : BnPlCo00";"164718";"Bibliothèque nationale de France";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34355551z -- https://gallica.bnf.fr/ark:/12148/cb34355551z/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k9921229";"texte -- text -- publication en série imprimée -- printed serial";"Bulletin de la Société Victor Hugo : association littéraire";"Société Victor Hugo. Auteur du texte";"";" (Paris)";"1914-04";" avril 1914 -- 1914/04. -- ";"";"Bibliothèque nationale de France, département Littérature et art, FOL-Z-1070";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32724935c -- https://gallica.bnf.fr/ark:/12148/cb32724935c/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k7653115z";"texte -- text -- publication en série imprimée -- printed serial";"Comoedia / rédacteur en chef : Gaston de Pawlowski";"";"Pawlowski, Gaston de (1874-1933). Directeur de publication";" (Paris)";"1913-01-22";"22 janvier 1913 -- 1913/01/22 (A7,N1939). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JOD-123";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32745939d -- https://gallica.bnf.fr/ark:/12148/cb32745939d/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k241875d";"texte -- text -- publication en série imprimée -- printed serial";"Le Temps";"";"Nefftzer, Auguste (1820-1876). Fondateur de la publication. Directeur de publication -- Hébrard, Adrien (1833-1914). Directeur de publication";" (Paris)";"1914-07-24";"24 juillet 1914 -- 1914/07/24 (Numéro 19375s). --  -- Appartient à l’ensemble documentaire : FranceJp0 -- Appartient à l’ensemble documentaire : BnPlCo00";"137484";"Bibliothèque nationale de France";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34431794k -- https://gallica.bnf.fr/ark:/12148/cb34431794k/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4588067v";"texte -- text -- publication en série imprimée -- printed serial";"Journal de Ruffec : Aigre, Mansle, Villefagnan [\"puis\" républicain régional... \"puis\" journal républicain indépendant de l'arrondissement \"puis\" organe d'informations & de rénovation nationale...]";"";"";" (Ruffec)";"1913-04-13";"13 avril 1913 -- 1913/04/13 (N15). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-86067";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327988105 -- https://gallica.bnf.fr/ark:/12148/cb327988105/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k50674006";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit Guelma : journal républicain progressiste";"";"";" (Guelma)";"1913-12-06";"06 décembre 1913 -- 1913/12/06 (A50,N2653). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-87695";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32836476f -- https://gallica.bnf.fr/ark:/12148/cb32836476f/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k45880725";"texte -- text -- publication en série imprimée -- printed serial";"Journal de Ruffec : Aigre, Mansle, Villefagnan [\"puis\" républicain régional... \"puis\" journal républicain indépendant de l'arrondissement \"puis\" organe d'informations & de rénovation nationale...]";"";"";" (Ruffec)";"1913-05-18";"18 mai 1913 -- 1913/05/18 (N20). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-86067";"domaine public -- public domain";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327988105 -- https://gallica.bnf.fr/ark:/12148/cb327988105/date"
